id,created_at,updated_at,status,code_sap,name,fantasy,system,retroactive,owner
155,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10471574,COOPERATIVA AGROINDUSTRIAL COOPERJA,COOPERJA,,,1
156,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550040,COOPERATIVA MISTA AGROPECURIA DE PA,COOMAP,,,1
157,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10520575,COOPERCITRUS COOP DE PROD RURAIS,COPERCITRUS,,,1
159,2019-12-03 15:55:28,2019-12-19 12:09:48,True,10433720,COPACOL COOP AGROINDL CONSOLATA,COPACOL,,,1
160,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433419,COPLANA COOP AGROINDUSTRIAL,COPLANA,,,1
161,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433589,COTRIJAL COOP AGROP E INDUSTRIAL,COTRIJAL,,,1
165,2019-12-03 15:55:28,2020-01-02 10:13:10,True,10433604,CVALE COOPERATIVA AGROINDUSTRIAL,CVALE,,,1
166,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10551789,DA TERRA SOLUCOES AGRICOLAS LTDA,DA TERRA,,,1
167,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550888,DAGRAMAS COM E REPR DE PROD RURAIS,DAGRAMA,,,1
168,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10576365,DECIO LUIZ CASSOL & CIA LTDA,AGROSOL,,,1
169,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434305,DEFENSA NUT PROT VEGETAL LTDA,DEFENSA,,,1
170,2019-12-03 15:55:28,2019-12-26 17:10:47,True,10434092,DELTA AGRICOLA LTDA,DELTA,,,1
172,2019-12-03 15:55:28,2019-12-18 09:04:07,True,10433911,DIAMAJU AGRIC LTDA,DIAMAJU,,,1
175,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434584,DINIZ & SZYMANSKI LTDA,DINIZ & SZYMANSKI,,,1
176,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10628488,DINIZ PENTEADO E CIA LTDA,DINIZ PENTEADO,,,1
177,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433756,DINIZ SEMENTES E DEFENSIVOS LTDA,DINIZ SEMENTES,,,1
179,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10560719,F PEZZATO AGRICOLA LTDA,F PEZZATO AGRICOLA,,,1
183,2019-12-03 15:55:28,2019-12-17 13:44:06,True,10491666,FOCO AGRONEG LTDA EPP,FOCO,,,1
185,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10512107,FORMOSA AGRO LTDA,FORMOSA,,,1
186,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434547,FORTEAGRO PROD AGROPEC LTDA,FORTEAGRO,,,1
188,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10488065,FRUT AGRO COM FRUTAS INS LTDA,FRUTIAGRO,,,1
192,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434138,GIRARDI PALOSCHI LTDA,GIRARDI,,,1
195,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10458346,HF COM E REPRES DE PROD AGROPEC LTD,HF PRODUTOS,,,1
